MonthYear_Date,count
201502,578616
201503,1793984
201504,1692807
201505,1596256
201506,1599180
201507,1951301
201508,1838325
201509,1890925
201510,1814629
201511,1715629
201512,1756086
201601,1861537
201602,1964872
201603,2067303
201604,1979028
201605,2041741
201606,2027846
201607,2001800
201608,1971628
201609,1994197
201610,2039450
201611,2038207
201612,1767492
201701,2082018
201702,2066005
201703,2098403
201704,1810046
201705,1850082
201706,1721186
201707,1545765
201708,1777410
201709,1224842
