GoldsteinScale,sum(count)
-0.4,6630494
9.0,367454
5.0,6401553
2.5,279472
8.5,64813
3.8,110006
-9.0,4506657
-0.1,1087677
8.3,745407
3.4,20776399
7.4,7112814
,1206
7.0,21439852
5.2,2202817
3.2,394873
-4.0,9813066
3.0,23483055
-0.3,764827
10.0,1116339
-7.2,1188558
-9.5,2794992
2.8,25647897
3.5,3389193
6.4,1546251
-6.5,2730517
1.0,20962215
6.0,4239063
-5.0,23154431
8.0,2676082
-2.0,33147696
0.4,6623007
-5.6,94962
-7.5,338257
-8.0,552368
-9.2,1032761
4.5,246571
-4.4,3695285
-5.8,347969
4.0,21093415
-7.0,1889495
-10.0,28044154
0.0,38847056
1.9,26594625
