MonthYear_Date,EventRootCode,ActionGeo_CountryCode,count
201705,03,TW,904
201608,03,SY,6068
201701,02,EI,4532
201509,01,EZ,1585
201709,01,BY,335
201507,03,SY,3092
201609,01,LU,416
201506,01,UP,4435
201606,01,RO,1261
201607,01,FR,17480
201607,01,KE,5633
201707,02,AS,10516
201601,02,AG,305
201604,03,EG,4019
201609,02,BL,154
201512,03,PM,415
201604,02,KS,1874
201603,01,JA,6588
201605,02,PL,1186
201707,02,JE,389
201506,01,LE,2459
201709,02,GZ,164
201706,01,LY,1447
201505,01,ES,486
201503,03,CY,530
201503,03,SL,455
201504,01,YM,8086
201508,02,TW,724
201508,01,KN,2580
201508,03,SY,3903
201605,02,LE,802
201504,03,ZI,1235
201612,03,CM,217
201606,02,AY,67
201702,01,LA,299
201602,02,GH,2719
201704,03,DR,133
201503,03,BL,165
201506,01,AR,995
201703,03,RQ,182
201509,02,LA,129
201508,03,SU,1971
201610,01,ID,3795
201708,03,EN,610
201502,01,CT,43
201607,01,RM,59
201702,03,VQ,64
201512,02,HK,605
201505,01,BX,1012
201511,01,RO,1325
201610,03,AL,215
201502,01,RW,247
201512,01,MA,100
201612,01,MG,338
201605,03,MD,177
201608,02,GT,203
201506,01,AJ,970
201701,02,PU,27
201603,03,GV,128
201512,02,LU,260
201602,01,MZ,506
201610,01,ST,186
201609,03,GV,106
201512,01,RI,439
201611,03,JE,463
201605,03,HA,260
201604,02,SE,70
201502,03,MK,105
201503,01,BP,178
201703,03,AG,279
201612,02,BG,2104
201510,01,CF,524
201607,03,RI,256
201507,03,DR,237
201504,03,TW,923
201604,01,TO,100
201602,03,AV,30
201612,01,FM,28
201503,01,CT,234
201511,03,CG,61
201601,01,OS,329
201605,02,TN,48
201502,03,BC,72
201611,02,GQ,209
201611,02,HQ,2
201704,01,TO,61
201709,02,SM,6
201708,02,MC,44
201504,01,MH,20
201502,03,NG,149
201602,02,DO,24
201612,03,BL,112
201605,02,AQ,18
201512,03,ST,43
201505,01,NS,31
201507,03,NF,1
201704,02,AQ,55
201701,02,SV,6
201605,03,FO,1
201602,01,TV,18
201506,01,TV,13
201704,01,MB,32
201508,19,GR,1601
201502,19,CA,2141
201507,20,UK,217
201503,18,IS,2232
201605,18,US,32685
201612,19,IZ,9523
201703,19,GH,940
201612,18,VM,237
201704,18,UK,3814
201607,18,MX,578
201510,19,BF,357
201611,19,AL,160
201611,20,US,230
201601,19,RQ,188
201610,19,NO,477
201611,18,AG,77
201610,19,ML,477
201610,19,MZ,320
201703,18,IV,27
201610,19,DJ,877
201506,18,FR,1343
201509,20,PK,61
201602,19,RM,68
201601,19,HU,294
201503,18,MY,359
201508,18,AJ,43
201602,18,GV,37
201506,18,LE,517
201509,18,KE,398
201508,18,PP,25
201502,18,HR,18
201610,19,ST,30
201604,19,GY,267
201505,19,TO,17
201709,18,BK,10
201611,19,AO,157
201611,19,GI,41
201701,18,RM,4
201702,18,AU,127
201509,18,ZI,269
201609,18,TW,132
201706,19,WZ,45
201507,18,UV,14
201505,19,HK,199
201604,18,CB,141
201512,19,CN,13
201504,18,BX,18
201607,18,HO,79
201511,18,TW,54
201504,19,TX,66
201603,18,EN,23
201706,19,MG,35
201504,18,TW,32
201509,18,MU,28
201512,19,FO,4
201707,19,NR,14
201602,18,WZ,21
201510,19,GB,16
201605,19,VC,13
201703,18,GQ,35
201612,19,GP,4
201511,18,WZ,19
201708,18,MZ,34
201509,18,BD,11
201709,20,SO,7
201512,19,GP,12
201605,18,MR,9
201611,20,PO,2
201704,18,GG,17
201707,02,FG,2
201610,01,IO,1
201512,02,KT,13
201610,01,IM,5
201606,01,KT,5
201608,01,RN,9
201704,02,YI,1
201609,19,PU,7
201704,18,FO,2
201510,19,AV,5
201502,19,MJ,8
201609,20,PE,5
201611,18,VI,5
201607,20,GH,2
201505,18,LS,1
201603,19,CN,1
201704,18,SI,2
201508,20,YI,6
201508,20,NG,1
201506,19,GB,2
201603,20,CI,1
201702,02,CA,11784
201702,01,UP,4543
201707,01,VE,2271
201609,01,TS,439
201610,01,LE,1511
201709,03,KS,3000
201604,01,US,287680
201604,02,KE,2508
201604,02,CB,646
201602,03,IS,6038
201606,02,RS,6318
201607,01,BR,2511
201607,03,JE,442
201707,03,SW,661
201604,01,UG,2847
201611,01,IR,8925
201601,02,BT,111
201601,02,LE,921
201601,02,SF,3967
201512,03,CH,13888
201706,02,BE,1164
201706,01,BG,3423
201706,03,MY,2297
201706,01,IR,8882
201607,01,CF,468
201606,02,GY,373
201701,01,BM,1422
201508,01,NI,22315
201510,02,RP,4363
201704,02,AS,10988
201708,03,GZ,113
201704,03,JO,996
201703,02,KS,2448
201606,02,ET,635
