GoldsteinScale,Number Mentions
-10.0,28044154
-9.5,2794992
-9.2,1032761
-9.0,4506657
-8.0,552368
-7.5,338257
-7.2,1188558
-7.0,1889495
-6.5,2730517
-5.8,347969
-5.6,94962
-5.0,23154430
-4.4,3695285
-4.0,9813066
-2.0,33147696
-0.4,6630494
-0.3,764827
-0.1,1087677
0.0,38847056
0.4,6623007
1.0,20962215
1.9,26594625
2.5,279472
2.8,25647897
3.0,23483055
3.2,394873
3.4,20776398
3.5,3389193
3.8,110006
4.0,21093413
4.5,246571
5.0,6401553
5.2,2202817
6.0,4239063
6.4,1546251
7.0,21439852
7.4,7112814
8.0,2676082
8.3,745407
8.5,64813
9.0,367454
10.0,1116339
