MonthYear_Date,ActionGeo_CountryCode,count
201508,CE,28619
201508,AN,117
201508,MD,1135
201701,KG,6358
201608,BG,41413
201608,HR,3946
201703,LE,14533
201706,KN,35907
201511,JE,6048
201511,GJ,1416
201705,CO,11540
201510,KS,27864
201510,HA,6671
201702,MP,1067
201703,NR,449
201605,CD,5682
201605,BH,4036
201605,AG,4734
201509,TN,850
201609,EK,621
201601,HR,2747
201607,ZA,8684
201503,GA,3733
201601,PC,56
201505,GA,4490
201708,YI,117
201609,GM,70123
201709,CS,1809
201605,RI,2693
201706,TK,127
201510,MD,2871
201604,MZ,3357
201601,VE,9067
201704,IV,1099
201705,BP,773
201607,AO,3329
201703,TO,482
201604,MH,116
201611,FO,73
201609,TK,8
201607,NT,7
201503,HQ,3
201702,WQ,4
201508,GV,2936
201508,SI,666
201508,TP,47
201602,SY,179383
201703,DA,10282
201507,BK,5473
201611,JA,60891
201702,UZ,2998
201509,PK,98315
201511,SG,2571
201701,BX,5295
201510,SZ,21557
201606,KU,5539
201604,JA,58417
201704,TZ,7962
201707,VC,380
201510,DO,705
201709,CF,2480
201612,NS,559
201703,IM,69
201602,FR,76716
201611,SN,18730
201511,LO,1858
201602,BF,7312
201603,BH,3809
201606,KR,327
201510,KT,324
201608,MA,795
201506,CJ,1128
201705,NT,15
201612,TV,86
201608,AN,73
201606,TK,21
201703,NT,23
201609,HQ,13
201603,IO,1
201507,KS,23973
201507,CO,9746
201701,UP,23227
201701,GG,2847
201608,WA,4325
201702,SI,1944
201611,NU,2909
201708,UY,1220
201603,LG,2293
201707,HA,3419
201706,LA,2003
201503,BO,10201
201510,AJ,11081
201602,VM,25316
201612,ZI,20357
201609,CV,141
201709,CA,91117
201607,LT,2341
201604,GL,1032
201606,PP,4996
201503,DJ,2891
201610,CT,2819
201610,TX,2605
201701,AC,748
201708,NC,213
201601,IM,32
201707,NO,7063
201503,MZ,3618
201605,IN,263700
201602,CE,19623
201701,CJ,1305
201506,LE,18790
201606,UV,1961
201612,LS,169
201512,MP,1410
201610,DO,583
201505,MI,4448
201707,SV,62
201608,IO,11
201602,LQ,1
201508,GR,40274
201508,LG,2382
201502,KV,569
201702,CE,16833
201702,PA,1029
201703,TH,21157
201611,SP,27704
201702,EZ,5824
201708,AF,66350
201708,JO,14974
201503,EI,50001
201601,MV,3263
201609,VQ,878
201609,AY,521
201607,QA,6991
201702,MA,899
201503,AU,9348
201704,KN,78240
201607,NO,10400
201604,UP,28857
201604,HA,4487
201604,BL,2738
201504,MO,6771
201603,TP,53
201609,MN,1205
201505,IT,38591
201511,MJ,770
201506,VE,7630
201507,TO,491
201704,NE,187
201608,SB,19
201505,TP,70
201702,NT,13
201508,CV,251
201502,BN,866
201608,RW,8159
201703,FI,6318
201512,TU,115893
201702,NP,11460
201509,BR,15640
201511,BB,2640
201611,GQ,2920
201605,HK,9449
201706,GZ,2413
201504,CO,9233
201701,CV,245
201503,EN,2777
201510,VT,1951
201611,CG,1805
201605,BP,907
201708,MA,850
201608,PA,1242
201601,CB,9394
201601,TI,2641
201705,KU,4879
201607,LS,236
201506,CY,5764
201506,SU,21510
201504,CW,691
201510,CV,177
201503,NC,216
201508,VI,230
201605,SM,112
201502,NT,21
201705,FK,28
201701,MQ,2
201512,ML,5042
201611,CU,40930
201702,TI,2320
201708,SY,58118
201702,PS,120
201612,GM,81306
201512,SL,3310
201510,YM,20857
201512,TI,2995
201504,SY,62885
201612,TD,6398
201504,CH,138025
201510,WA,6195
201510,NS,356
201605,TD,6892
201509,VQ,398
201607,WA,4074
201611,CW,529
201608,TZ,10845
201507,NL,21333
201507,BP,783
201503,DR,3133
201612,BA,9898
201602,EN,2146
201707,RW,6442
201602,TX,2029
201606,BH,3859
201505,LY,19313
201608,CG,2686
201610,MT,6947
201607,GJ,1146
201505,SE,1480
201609,BH,4196
201505,GG,3350
201611,GK,992
201511,IO,10
201505,TT,546
201505,MB,176
201508,BO,8390
201502,RS,41466
201603,JM,8974
201506,SZ,20872
201611,US,2038207
201603,HA,4534
201707,IC,2004
201707,TS,3123
201511,OS,3034
201703,IC,3389
201602,ZA,11872
201509,IZ,53031
201606,HA,4715
201612,PA,709
201709,WS,2081
201709,UY,1211
201709,BB,2086
201612,CY,5534
201504,KE,53160
201509,CQ,61
201511,VC,430
201702,OC,354
201706,BX,3152
201606,TW,13242
201604,SW,15902
201605,CB,10102
201610,CG,2686
201503,TX,3276
201608,BT,1796
201606,NR,669
201508,SV,118
201506,SW,14093
201505,GP,171
201705,MH,90
201511,TL,17
201511,PF,11
201509,WF,3
201502,IM,28
201701,BR,22918
201701,RI,4692
201608,ZI,28760
201702,CI,7207
201507,KE,47268
201611,HO,2029
201611,LG,3763
201611,MT,6161
201708,SU,15687
201603,BR,30365
201603,PE,7065
201707,ZI,17893
201606,BE,29772
201602,MO,7815
201601,MT,5891
201701,KU,6707
201509,AY,708
201605,UK,310289
201611,PA,802
201709,TS,2836
201607,DO,580
201509,KG,3741
201504,GP,68
201607,FG,38
201709,WI,187
201507,BM,11815
201708,MY,30862
201503,BL,1988
201704,LE,13781
201603,CQ,257
201708,HR,2935
201607,BO,6660
201707,KR,301
201608,CD,4159
201608,GL,1364
201510,BB,1956
201706,HR,3205
201604,BP,798
201507,MG,2430
201602,SM,60
201704,LH,3478
201504,VI,161
201504,FP,145
201607,FR,114751
201703,CA,149818
201512,IZ,88285
201611,UK,303637
201707,SP,26579
201706,TZ,9689
201510,CO,8160
201606,GQ,3055
201606,SE,944
201612,IT,50268
201609,ZI,30817
201609,CD,3666
201709,AY,339
201607,BC,4476
201605,PG,205
201602,GQ,2288
201509,BY,3074
201605,OC,566
201503,GY,5025
201504,RB,3714
201504,FR,76579
201608,MK,3336
201708,AG,3132
201602,TO,469
201504,RI,2800
201509,MP,1173
201606,SV,166
201508,TK,31
201503,YI,132
201505,PF,16
201708,CQ,29
201605,LQ,5
201508,GZ,2322
201502,CF,1195
201701,KE,36358
201703,AO,2897
201512,CA,119454
201512,VE,9366
201708,PM,6795
201603,VM,28290
201510,CA,134122
201511,IT,43260
201503,IZ,80880
201510,IN,232336
201601,SP,24969
201609,FR,90711
201709,BM,21466
201602,WE,13318
201606,EZ,6939
201510,SG,2176
201612,FP,182
201512,FO,82
201603,UK,268199
201607,,144813
201503,,146860
201604,IS,108576
201607,BN,2068
201607,SI,2934
201607,DJ,1485
201604,CG,1562
201609,HO,2538
201704,LA,2360
201709,SV,37
201503,AV,199
201505,NU,1585
201506,KV,1625
201606,TO,766
201606,NC,300
201708,PG,82
201704,SM,117
201512,IM,56
201612,NT,9
201505,AN,276
201505,SB,3
201507,LY,16056
201508,HK,7769
201508,MF,31
201608,HA,5374
201512,SA,55472
201512,GJ,958
201603,KZ,6342
201707,CT,1869
201511,RI,4980
201512,JM,7908
201611,AM,12813
201610,ID,27804
201510,GL,734
201511,PG,238
201509,FM,298
201707,BN,2122
201511,MG,2100
201605,ER,2554
201604,SG,3008
201610,HK,10198
201601,TW,16448
201511,MP,982
201612,PF,30
201612,DO,417
201604,SC,288
201506,AA,386
201507,KR,682
201504,NR,830
201704,PG,78
201506,NH,626
201606,SM,139
201507,MO,5881
201508,NU,1659
201502,GR,14438
201502,HA,1968
201701,WS,1733
201701,VM,29219
201602,KZ,4783
201707,EG,31653
201708,OC,507
201708,LI,5400
201512,MZ,2079
201709,TW,6844
201612,MD,2560
201610,CS,2030
201507,SE,1377
201505,AU,9628
201705,GJ,1130
201510,OC,516
201708,JM,7882
201612,EI,46133
201704,WE,6661
201709,AJ,9304
201507,BA,6231
201610,RO,9304
201610,CJ,905
201509,MI,5157
201505,ES,3658
201508,HQ,12
201706,NC,173
201503,NE,52
201607,SB,3
201609,JE,7442
201609,SO,19280
201709,MO,3607
201701,IS,133062
201605,EN,3058
201602,LI,8016
201504,JM,11975
201602,CW,705
201509,CU,39019
201611,CI,7306
201504,AJ,11282
201504,SG,2469
201704,TU,69926
201503,BK,2068
201701,MG,1735
201703,BC,3547
201706,BC,4015
201610,LG,2681
201510,GI,1100
201612,CW,478
201611,MJ,1163
201504,NC,245
201602,WS,1633
201606,KS,27811
201605,HR,4138
201604,HR,4194
201708,MP,1295
201603,SY,137077
201502,MK,1183
201610,BK,1448
201601,SG,2927
201612,LG,2733
201508,LU,1939
