ActionGeo_CountryCode,MentionTimeDate,count
KE,201502,43905
IV,201502,2441
ES,201504,9957
MU,201507,12435
CA,201508,597109
WZ,201508,14273
BR,201511,100954
NI,201512,489316
BH,201512,9791
DO,201512,2226
AO,201601,6397
VE,201602,47064
SV,201602,165
BO,201605,19242
VM,201606,94760
MR,201607,4624
YM,201608,99053
CA,201609,594647
MP,201610,3459
CT,201610,24126
NI,201611,421318
DJ,201611,3679
TO,201612,1380
CB,201701,34321
EN,201701,10099
LH,201701,11220
LI,201701,18787
OD,201702,25602
AM,201702,30774
HO,201704,3561
MT,201704,24005
AF,201708,306443
MP,201709,2667
DJ,201710,26
TH,201510,85141
MO,201510,21150
BX,201512,16638
HR,201603,14357
GR,201604,315018
SW,201604,73765
GK,201606,2249
LO,201608,4048
BK,201610,3397
TT,201707,2495
VQ,201502,387
AQ,201608,671
SC,201612,200
MQ,201505,2
HQ,201610,4
SV,201503,4504
HO,201504,9648
PP,201505,9226
IT,201506,230882
DO,201506,847
MC,201509,1556
AU,201510,135118
HO,201510,6961
JM,201601,28403
VQ,201601,1158
FI,201604,12471
GM,201605,271367
SG,201605,19882
SL,201605,10134
CV,201605,1328
SL,201607,14517
RI,201608,16653
GG,201609,8297
TO,201609,1506
EN,201610,8521
JO,201611,44116
BD,201611,5199
ID,201702,115264
ZA,201702,13703
LE,201704,38932
AL,201704,24054
TH,201705,82095
SA,201705,399668
LY,201705,95730
KE,201705,75277
HA,201705,27308
MN,201705,4813
AR,201705,18181
FR,201707,326409
NP,201707,18033
MH,201707,260
LE,201708,75509
SF,201708,249729
UZ,201709,5527
OD,201710,376
TU,201711,1885
DJ,201706,8374
GY,201710,65
LE,201711,265
AA,201709,971
PG,201608,448
TS,201710,298
GP,201701,103
LE,201605,63302
SN,201612,85969
ST,201706,1255
CA,201711,3220
FO,201601,30
JQ,201611,4
NG,201504,19485
CW,201504,1879
IZ,201505,577977
BL,201506,5718
FR,201508,427964
WE,201509,19044
UZ,201603,9340
SG,201603,16676
AM,201604,129536
EG,201605,417813
ES,201605,8494
JE,201606,19609
BK,201606,2789
BP,201606,4858
CG,201608,10630
EG,201609,128857
HK,201611,56754
QA,201612,35797
EZ,201612,23920
VI,201701,774
GI,201703,4549
BR,201703,70299
KV,201703,9943
IZ,201704,191345
AU,201704,29882
BY,201704,5343
RB,201707,7605
AA,201611,704
PA,201707,2290
MU,201710,150
SV,201508,301
FO,201612,53
RW,201706,16511
NE,201607,73
PC,201607,92
NF,201602,29
GJ,201710,4
RP,201502,73526
JO,201502,28622
TS,201502,4560
UG,201502,14814
TX,201503,7644
RB,201503,14127
GM,201504,310729
CV,201504,750
VT,201504,6955
PL,201505,79682
WA,201505,18419
JO,201505,59192
AY,201505,3929
RI,201507,19621
UP,201508,105465
KU,201508,17997
GZ,201508,6836
HO,201508,13409
IZ,201509,204473
CB,201509,34565
BD,201509,4514
TO,201512,2171
FJ,201604,18132
TZ,201605,28099
BA,201606,47993
KG,201607,9106
NO,201608,55419
MX,201609,236459
RN,201609,113
SE,201609,6656
CO,201612,48288
KE,201612,100872
CO,201701,31735
MR,201701,7221
JM,201702,32675
OC,201704,851
BX,201706,9362
JA,201707,190156
EI,201707,104894
JO,201707,77355
VI,201611,1008
LO,201710,21
MI,201511,11930
KG,201604,7606
BC,201604,9810
IM,201512,313
RN,201507,84
JN,201701,6
GT,201502,5299
HA,201505,21424
JO,201507,81425
CM,201507,37880
LU,201508,8020
PS,201509,582
GG,201510,5257
SO,201601,90358
TO,201601,1654
WI,201601,661
MA,201601,2645
AS,201603,1382359
TS,201604,10082
CH,201607,802324
NS,201607,785
CH,201608,715528
BO,201609,20022
TT,201609,2415
AF,201610,233679
AR,201610,27665
SU,201610,52047
RW,201611,24429
FR,201612,355833
KV,201701,16288
ES,201701,8764
DJ,201703,5024
LU,201704,5728
CO,201704,70804
BF,201706,10114
PM,201708,25077
CA,201709,297471
NR,201709,2905
PG,201505,2446
KT,201610,55
FK,201704,138
SY,201510,665754
PA,201604,1099
BN,201605,9605
SP,201606,113075
BL,201608,30907
SU,201611,48744
GL,201612,3423
LS,201612,901
MG,201704,3798
CY,201704,16528
IM,201601,82
DQ,201701,1
WQ,201707,8
AO,201503,8218
MA,201504,2779
AA,201505,2097
HK,201506,53174
IN,201507,1016898
JA,201507,250770
KV,201507,3245
GM,201509,670859
CF,201511,15995
RB,201511,16676
HU,201601,36947
VI,201601,1127
AM,201602,27773
DO,201602,923
JO,201604,59602
TH,201606,116461
TN,201606,2290
RI,201607,14212
TZ,201608,27887
OS,201609,8211
GT,201609,8456
HU,201610,65485
TD,201610,17908
CF,201611,16819
PU,201611,635
CH,201701,696915
RM,201701,1114
US,201703,10051813
GM,201702,337867
GT,201702,11215
MY,201707,79532
TP,201701,1645
BK,201704,2295
SV,201608,258
MC,201510,2315
RP,201512,197468
BC,201603,12482
CV,201506,244
GP,201605,96
CQ,201709,76
SU,201711,96
HQ,201607,20
FM,201710,8
WE,201711,10
MF,201502,16
WA,201504,18177
CW,201507,2022
SU,201508,101917
LE,201508,131221
KR,201511,3054
GQ,201602,5904
KR,201602,1324
ST,201603,1694
PL,201604,58667
RS,201605,394247
BG,201605,213395
IT,201606,178797
PL,201606,85190
MK,201606,11497
FR,201610,396813
VC,201610,1391
UG,201612,50869
FJ,201701,14937
KR,201702,395
PO,201703,28945
ET,201704,20520
OD,201706,29445
FJ,201706,15216
TD,201706,14183
EC,201706,4943
TI,201707,6121
KR,201708,758
GB,201503,1790
KU,201710,75
