MentionTimeDate,count
201503,18794374
201607,19335993
201702,17329261
201510,18156539
201611,17876154
201605,19243225
201704,16490532
201602,18285065
201511,18902226
201703,18065188
201507,19828511
201606,18226565
201710,15448843
201609,18216731
201709,14473527
201502,6207859
201711,12088291
201706,15442791
201610,18055968
201509,18764684
201608,18173123
201512,17491353
201708,15353205
201705,17356277
201707,13951814
201508,19469433
201604,18615873
201506,17738728
201504,17628399
201701,18874704
201603,18703964
201601,17380723
201612,17750910
201505,17516389
