MentionSourceName,count
yahoo.com,645970
ap.org,396465
english.wafa.ps,305364
dailymail.co.uk,250812
business-standard.com,247546
philstar.com,228237
american-reporter.com,204878
BBC Monitoring,183669
reuters.com,173687
allafrica.com,172720
wickedlocal.com,172195
sfgate.com,154788
indiatimes.com,153995
chron.com,146589
4-traders.com,146116
washingtonpost.com,145821
mynorthwest.com,127883
newsok.com,119441
bsccomment.com,109056
thehindu.com,108534
asiaone.com,103939
greenfieldreporter.com,99694
thevillagessuntimes.com,98886
fait-religieux.com,97101
firstpost.com,96547
cnsnews.com,94117
iheart.com,93150
trust.org,92632
blogspot.com,92015
channelnewsasia.com,91841
therepublic.com,90920
newshub.org,90170
nzherald.co.nz,90050
stltoday.com,87368
schoolloop.com,86381
nytimes.com,85394
kdhnews.com,85119
palestinemonitor.org,81946
foxnews.com,80911
quadrangleonline.com,79865
theguardian.com,79478
worldbulletin.net,77915
huewire.com,77006
iol.co.za,76317
india.com,76191
heraldsun.com.au,76158
asianage.com,75544
smh.com.au,74665
ghanaweb.com,72210
go.com,72075
bilbaoya.com,71653
menafn.com,71473
thestar.com.my,70978
ctpost.com,70457
thepublicopinion.com,69574
onlinenigeria.com,69108
huffingtonpost.com,68613
seattlepi.com,68365
daytondailynews.com,68002
marketwatch.com,67868
xinhuanet.com,67779
bloomberg.com,67453
dailytelegraph.com.au,67184
themalaymailonline.com,67007
tucson.com,66108
couriermail.com.au,65449
newindianexpress.com,64903
theage.com.au,63479
abruzzo.tv,63300
lacrossetribune.com,62834
gulfnews.com,62788
theaustralian.com.au,62565
startribune.com,62380
businessinsider.com,62353
thenews.com.pk,61727
news-sentinel.com,61523
hawaiinewsnow.com,61505
gwdtoday.com,60731
cbslocal.com,60433
pafoa.org,60236
