MentionSourceName,count
yahoo.com,1887009
iheart.com,1818611
ap.org,1437853
philstar.com,808774
dailymail.co.uk,794304
english.wafa.ps,757346
reuters.com,716823
business-standard.com,647472
indiatimes.com,540627
BBC Monitoring,507050
aninews.in,478353
allafrica.com,468428
sfgate.com,460852
chron.com,457755
4-traders.com,443818
washingtonpost.com,424490
tenthamendmentcenter.com,363459
newsok.com,341675
thehindu.com,309654
bloomberg.com,286833
firstpost.com,277482
indianexpress.com,265547
durangoherald.com,264748
couriermail.com.au,264605
heraldsun.com.au,264204
iol.co.za,262886
wickedlocal.com,257808
newshub.org,257720
siouxcityjournal.com,255849
channelnewsasia.com,253389
trust.org,252167
worldbulletin.net,250382
foxnews.com,250111
xinhuanet.com,244609
american-reporter.com,244227
tucson.com,240539
lacrossetribune.com,236039
nytimes.com,235749
palestinemonitor.org,233833
stltoday.com,231254
india.com,230525
dailytelegraph.com.au,228287
mynorthwest.com,227741
mysanantonio.com,226670
theguardian.com,224732
pafoa.org,221873
smh.com.au,220928
go.com,217641
ctpost.com,217336
themalaymailonline.com,215900
onlinenigeria.com,215368
msn.com,215133
wcfcourier.com,213188
beatricedailysun.com,211458
cbslocal.com,206913
fremonttribune.com,206173
thestar.com.my,203534
farsnews.com,203075
asiaone.com,198269
freerepublic.com,197990
hawaiinewsnow.com,196996
gulfnews.com,196383
therepublic.com,195182
news-sentinel.com,193369
muscatinejournal.com,193361
gwdtoday.com,192470
heraldscotland.com,192272
marketwatch.com,191651
seattlepi.com,190443
qctimes.com,188460
huffingtonpost.com,188282
missoulian.com,185948
ghanaweb.com,183898
startribune.com,183823
newsnow.in,182852
ksby.com,182495
businessinsider.com,182397
gazette.com,180679
web.nmusd.us,180483
kswo.com,179895
helenair.com,177919
thetandd.com,176043
newkerala.com,173715
webindia123.com,173652
kdhnews.com,173625
mtstandard.com,172821
nation.com.pk,172027
bgdailynews.com,169058
dawn.com,168545
cbc.ca,168431
theage.com.au,168051
ndtv.com,167511
greenwichtime.com,166465
theaustralian.com.au,163535
journalstar.com,161410
hindustantimes.com,161198
bostonherald.com,160952
miamiherald.com,160804
news.com.au,159843
dailyprogress.com,159640
rapidcityjournal.com,159115
sandiegouniontribune.com,159112
seattletimes.com,159049
daytondailynews.com,158474
wlox.com,158296
irishsun.com,157589
trib.com,157060
chicagotribune.com,155816
dnaindia.com,155721
chinadaily.com.cn,154932
beaumontenterprise.com,153794
newstimes.com,153325
thepublicopinion.com,153073
greenfieldreporter.com,152918
wbrc.com,152517
deccanchronicle.com,152321
