Day_Month_Year_Mention,GLOBALEVENTID,count
02-02-2016,507672088,2341
09-02-2016,507672088,1
19-05-2016,541807570,2994
13-06-2016,549672590,4359
14-06-2016,550002663,3372
15-06-2016,550374072,2580
29-06-2016,554857213,2533
08-07-2016,557744790,3580
08-07-2016,557750676,2257
08-07-2016,557743450,2449
08-07-2016,557760496,2437
08-07-2016,557745579,4216
08-07-2016,557745576,2863
08-07-2016,557699829,2547
08-07-2016,557696570,2260
08-07-2016,557716009,3931
08-07-2016,557710908,2293
08-07-2016,557745944,2569
09-07-2016,557745579,31
09-07-2016,557716009,3
10-07-2016,558285934,2854
15-07-2016,557699829,5
15-07-2016,557696570,1
15-07-2016,557743450,2
15-07-2016,557716009,7
15-07-2016,557710908,3
15-07-2016,557745579,1
15-07-2016,557744790,3
16-07-2016,560347451,2904
21-07-2016,561922308,3095
07-08-2016,557710908,1
07-08-2016,557716009,1
