MentionTimeDate,count
201503,9433991
201607,11892983
201702,10186965
201510,8786974
201611,10795980
201605,10625397
201704,8845977
201602,9517736
201511,8521753
201703,10051813
201507,10841261
201606,10577315
201710,85435
201609,10238484
201709,5850786
201502,3050493
201706,8265008
201711,38922
201610,10170156
201509,9342263
201608,10600853
201512,9597539
201708,9056768
201705,9021562
201707,7250724
201508,10832557
201604,9461820
201506,10600937
201504,9594309
201701,11162918
201601,8921673
201603,9611296
201612,9765762
201505,10447002
