MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,LT,50946,18
onlinenigeria.com,LT,50946,27
theguardian.com,LT,50946,40
washingtonpost.com,LT,50946,31
france24.com,LT,50946,23
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,CI,208073,584
washingtonpost.com,CI,208073,1004
france24.com,CI,208073,475
theguardian.com,CI,208073,639
onlinenigeria.com,CI,208073,80
washingtonpost.com,PC,1622,8
indiatimes.com,PC,1622,1
theguardian.com,PC,1622,4
onlinenigeria.com,PC,1622,3
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
france24.com,FI,172258,281
indiatimes.com,FI,172258,950
washingtonpost.com,FI,172258,522
theguardian.com,FI,172258,435
onlinenigeria.com,FI,172258,105
theguardian.com,IC,91717,380
indiatimes.com,IC,91717,222
washingtonpost.com,IC,91717,230
france24.com,IC,91717,165
onlinenigeria.com,IC,91717,172
theguardian.com,PM,203495,473
washingtonpost.com,PM,203495,659
france24.com,PM,203495,363
onlinenigeria.com,PM,203495,181
indiatimes.com,PM,203495,688
indiatimes.com,SC,7881,1
washingtonpost.com,SC,7881,1
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,PU,9863,13
france24.com,PU,9863,24
onlinenigeria.com,PU,9863,25
washingtonpost.com,PU,9863,13
indiatimes.com,PU,9863,1
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,NS,10945,45
indiatimes.com,NS,10945,40
theguardian.com,NS,10945,7
france24.com,NS,10945,9
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,RO,268588,1430
indiatimes.com,RO,268588,627
france24.com,RO,268588,367
theguardian.com,RO,268588,497
onlinenigeria.com,RO,268588,136
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
france24.com,SL,124850,114
washingtonpost.com,SL,124850,239
onlinenigeria.com,SL,124850,160
theguardian.com,SL,124850,357
indiatimes.com,SL,124850,81
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,LA,109019,296
theguardian.com,LA,109019,131
indiatimes.com,LA,109019,393
onlinenigeria.com,LA,109019,36
france24.com,LA,109019,141
washingtonpost.com,NL,608573,2080
france24.com,NL,608573,1503
theguardian.com,NL,608573,2080
indiatimes.com,NL,608573,2031
onlinenigeria.com,NL,608573,543
indiatimes.com,SB,215,1
onlinenigeria.com,SB,215,1
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,MN,31477,70
theguardian.com,MN,31477,111
onlinenigeria.com,MN,31477,67
indiatimes.com,MN,31477,70
france24.com,MN,31477,38
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,AM,460767,173
theguardian.com,AM,460767,323
france24.com,AM,460767,361
washingtonpost.com,AM,460767,455
onlinenigeria.com,AM,460767,51
theguardian.com,PL,496921,1944
washingtonpost.com,PL,496921,3664
indiatimes.com,PL,496921,1431
onlinenigeria.com,PL,496921,425
france24.com,PL,496921,1545
indiatimes.com,PS,8677,9
france24.com,PS,8677,18
theguardian.com,PS,8677,14
onlinenigeria.com,PS,8677,3
washingtonpost.com,PS,8677,10
washingtonpost.com,RE,15650,55
indiatimes.com,RE,15650,49
france24.com,RE,15650,38
theguardian.com,RE,15650,17
onlinenigeria.com,RE,15650,13
theguardian.com,UV,65531,296
indiatimes.com,UV,65531,211
washingtonpost.com,UV,65531,441
france24.com,UV,65531,253
onlinenigeria.com,UV,65531,137
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,AA,11257,18
theguardian.com,AA,11257,4
onlinenigeria.com,AA,11257,1
indiatimes.com,AA,11257,14
theguardian.com,MK,132758,287
indiatimes.com,MK,132758,164
france24.com,MK,132758,366
washingtonpost.com,MK,132758,699
onlinenigeria.com,MK,132758,76
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,AY,25643,121
washingtonpost.com,AY,25643,179
theguardian.com,AY,25643,96
france24.com,AY,25643,36
onlinenigeria.com,AY,25643,23
washingtonpost.com,DR,76452,464
france24.com,DR,76452,161
