MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
timesofisrael.com,LT,50946,13
theguardian.com,LT,50946,40
gulfnews.com,LT,50946,52
france24.com,LT,50946,23
chinadaily.com.cn,LT,50946,19
dailytelegraph.com.au,LT,50946,10
washingtonpost.com,LT,50946,31
japantimes.co.jp,LT,50946,8
thehindu.com,LT,50946,1
rt.com,LT,50946,2
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,CI,208073,639
washingtonpost.com,CI,208073,1004
france24.com,CI,208073,475
gulfnews.com,CI,208073,300
dailytelegraph.com.au,CI,208073,242
thejakartapost.com,CI,208073,94
rt.com,CI,208073,162
japantimes.co.jp,CI,208073,211
timesofisrael.com,CI,208073,77
chinadaily.com.cn,CI,208073,299
thehindu.com,CI,208073,163
kenyastar.com,CI,208073,8
washingtonpost.com,PC,1622,8
dailytelegraph.com.au,PC,1622,16
theguardian.com,PC,1622,4
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
france24.com,FI,172258,281
rt.com,FI,172258,192
theguardian.com,FI,172258,435
gulfnews.com,FI,172258,227
thehindu.com,FI,172258,180
japantimes.co.jp,FI,172258,110
dailytelegraph.com.au,FI,172258,104
thejakartapost.com,FI,172258,145
washingtonpost.com,FI,172258,522
chinadaily.com.cn,FI,172258,219
timesofisrael.com,FI,172258,57
kenyastar.com,FI,172258,8
timesofisrael.com,IC,91717,19
thehindu.com,IC,91717,80
thejakartapost.com,IC,91717,49
france24.com,IC,91717,165
chinadaily.com.cn,IC,91717,48
washingtonpost.com,IC,91717,230
gulfnews.com,IC,91717,63
theguardian.com,IC,91717,380
kenyastar.com,IC,91717,20
rt.com,IC,91717,97
dailytelegraph.com.au,IC,91717,104
japantimes.co.jp,IC,91717,41
gulfnews.com,PM,203495,224
washingtonpost.com,PM,203495,659
theguardian.com,PM,203495,473
thejakartapost.com,PM,203495,65
france24.com,PM,203495,363
dailytelegraph.com.au,PM,203495,119
thehindu.com,PM,203495,202
timesofisrael.com,PM,203495,57
rt.com,PM,203495,86
japantimes.co.jp,PM,203495,126
chinadaily.com.cn,PM,203495,90
kenyastar.com,PM,203495,5
washingtonpost.com,SC,7881,1
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,PU,9863,13
gulfnews.com,PU,9863,25
washingtonpost.com,PU,9863,13
france24.com,PU,9863,24
kenyastar.com,PU,9863,3
thehindu.com,PU,9863,6
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
thehindu.com,NS,10945,14
washingtonpost.com,NS,10945,45
dailytelegraph.com.au,NS,10945,25
theguardian.com,NS,10945,7
france24.com,NS,10945,9
chinadaily.com.cn,NS,10945,8
japantimes.co.jp,NS,10945,1
thejakartapost.com,NS,10945,11
timesofisrael.com,NS,10945,1
gulfnews.com,NS,10945,1
rt.com,NS,10945,5
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,RO,268588,1430
rt.com,RO,268588,207
thehindu.com,RO,268588,97
timesofisrael.com,RO,268588,199
france24.com,RO,268588,367
theguardian.com,RO,268588,497
dailytelegraph.com.au,RO,268588,100
thejakartapost.com,RO,268588,79
chinadaily.com.cn,RO,268588,47
gulfnews.com,RO,268588,187
japantimes.co.jp,RO,268588,93
kenyastar.com,RO,268588,9
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
gulfnews.com,SL,124850,129
france24.com,SL,124850,114
washingtonpost.com,SL,124850,239
theguardian.com,SL,124850,357
dailytelegraph.com.au,SL,124850,26
japantimes.co.jp,SL,124850,71
chinadaily.com.cn,SL,124850,66
thehindu.com,SL,124850,55
timesofisrael.com,SL,124850,26
thejakartapost.com,SL,124850,21
kenyastar.com,SL,124850,31
rt.com,SL,124850,18
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
chinadaily.com.cn,LA,109019,394
thejakartapost.com,LA,109019,270
washingtonpost.com,LA,109019,296
gulfnews.com,LA,109019,115
theguardian.com,LA,109019,131
dailytelegraph.com.au,LA,109019,72
thehindu.com,LA,109019,105
kenyastar.com,LA,109019,23
japantimes.co.jp,LA,109019,216
france24.com,LA,109019,141
timesofisrael.com,LA,109019,36
rt.com,LA,109019,18
