MonthYear_Date,EventRootCode,ActionGeo_CountryCode,count
201602,02,AF,2
201602,03,CA,2
201709,01,RS,8
201709,02,NI,2
201701,02,FR,1
201511,03,IT,1
201511,02,VM,5
201607,02,IR,1
201608,01,HA,2
201611,02,SZ,1
201611,02,NP,2
201610,01,VE,2
201705,02,CH,2
201706,02,US,53
201503,03,AU,2
201704,02,VT,1
201605,01,SY,2
201505,03,SA,3
201510,02,AS,4
201703,02,UP,1
201507,01,JM,1
201602,19,TH,1
201701,19,IS,2
201511,19,MY,3
201601,19,KU,1
201705,18,CA,3
201707,19,IT,2
201609,19,AS,2
201509,19,HK,2
