GLOBALEVENTID,mentions_count,mentions_pool,coverage
417924704,2,12232,1.6350555918901244E-4
417962323,1,12232,8.175277959450622E-5
417977716,1,12232,8.175277959450622E-5
417993965,1,12232,8.175277959450622E-5
418009098,2,12232,1.6350555918901244E-4
418025802,2,12232,1.6350555918901244E-4
418030137,2,12232,1.6350555918901244E-4
418085071,1,12232,8.175277959450622E-5
418122436,1,12232,8.175277959450622E-5
418205715,1,12232,8.175277959450622E-5
418213050,1,12232,8.175277959450622E-5
418224931,1,12232,8.175277959450622E-5
418236037,1,12232,8.175277959450622E-5
418238967,1,12232,8.175277959450622E-5
418239120,1,12232,8.175277959450622E-5
418239282,1,12232,8.175277959450622E-5
418239288,1,12232,8.175277959450622E-5
418239515,3,12232,2.4525833878351864E-4
418239941,1,12232,8.175277959450622E-5
418240220,1,12232,8.175277959450622E-5
418240472,4,12232,3.270111183780249E-4
418240558,4,12232,3.270111183780249E-4
426359527,1,10910,9.165902841429881E-5
426437534,1,10910,9.165902841429881E-5
426484996,1,10910,9.165902841429881E-5
426502524,1,10910,9.165902841429881E-5
426519893,1,10910,9.165902841429881E-5
426538896,1,10910,9.165902841429881E-5
426539149,1,10910,9.165902841429881E-5
426539413,1,10910,9.165902841429881E-5
426539602,1,10910,9.165902841429881E-5
434023992,1,11185,8.94054537326777E-5
434049734,8,11185,7.152436298614215E-4
434083799,1,11185,8.94054537326777E-5
434098371,1,11185,8.94054537326777E-5
434140196,1,11185,8.94054537326777E-5
434195881,1,11185,8.94054537326777E-5
434202548,1,11185,8.94054537326777E-5
434256278,4,11185,3.576218149307108E-4
434260814,1,11185,8.94054537326777E-5
434261073,1,11185,8.94054537326777E-5
434261354,1,11185,8.94054537326777E-5
434261454,1,11185,8.94054537326777E-5
434261599,1,11185,8.94054537326777E-5
434261815,1,11185,8.94054537326777E-5
441833301,1,11887,8.412551526878102E-5
441838380,1,11887,8.412551526878102E-5
441901529,1,11887,8.412551526878102E-5
441966856,1,11887,8.412551526878102E-5
442073898,1,11887,8.412551526878102E-5
442098087,9,11887,7.571296374190292E-4
442102324,1,11887,8.412551526878102E-5
442102482,1,11887,8.412551526878102E-5
442102634,1,11887,8.412551526878102E-5
442102799,1,11887,8.412551526878102E-5
442102946,2,11887,1.6825103053756205E-4
442102952,1,11887,8.412551526878102E-5
442103031,1,11887,8.412551526878102E-5
450144669,1,12217,8.185315543914218E-5
450162230,1,12217,8.185315543914218E-5
450198503,1,12217,8.185315543914218E-5
450217150,1,12217,8.185315543914218E-5
450235589,1,12217,8.185315543914218E-5
450295936,2,12217,1.6370631087828436E-4
450315569,10,12217,8.185315543914218E-4
450319565,1,12217,8.185315543914218E-5
450319789,1,12217,8.185315543914218E-5
450319822,1,12217,8.185315543914218E-5
450319891,1,12217,8.185315543914218E-5
458597684,1,13065,7.654037504783774E-5
458627572,1,13065,7.654037504783774E-5
458674424,1,13065,7.654037504783774E-5
458734527,1,13065,7.654037504783774E-5
458833510,3,13065,2.296211251435132E-4
458868267,1,13065,7.654037504783774E-5
458892878,1,13065,7.654037504783774E-5
458895193,1,13065,7.654037504783774E-5
458895476,1,13065,7.654037504783774E-5
