GLOBALEVENTID,mentions_count,mentions_pool,coverage
410426273,1,15813,6.323910706380825E-5
410428761,1,15813,6.323910706380825E-5
410429675,1,15813,6.323910706380825E-5
410430856,1,15813,6.323910706380825E-5
410439571,18,15813,0.0011383039271485487
410443169,1,15813,6.323910706380825E-5
410448656,1,15813,6.323910706380825E-5
410451477,1,15813,6.323910706380825E-5
410452067,1,15813,6.323910706380825E-5
410456019,1,15813,6.323910706380825E-5
410456853,1,15813,6.323910706380825E-5
410468413,1,15813,6.323910706380825E-5
410475220,1,15813,6.323910706380825E-5
410479956,1,15813,6.323910706380825E-5
410480961,1,15813,6.323910706380825E-5
410481182,1,15813,6.323910706380825E-5
410481338,3,15813,1.8971732119142478E-4
410481886,1,15813,6.323910706380825E-5
410482367,1,15813,6.323910706380825E-5
410483516,1,15813,6.323910706380825E-5
410483560,1,15813,6.323910706380825E-5
417924223,2,12232,1.6350555918901244E-4
417924628,1,12232,8.175277959450622E-5
417927881,1,12232,8.175277959450622E-5
417930181,1,12232,8.175277959450622E-5
417946787,1,12232,8.175277959450622E-5
417964267,1,12232,8.175277959450622E-5
417974100,1,12232,8.175277959450622E-5
418115105,1,12232,8.175277959450622E-5
418153828,1,12232,8.175277959450622E-5
418200149,1,12232,8.175277959450622E-5
418215284,1,12232,8.175277959450622E-5
418228519,1,12232,8.175277959450622E-5
418239101,1,12232,8.175277959450622E-5
418239251,1,12232,8.175277959450622E-5
418240218,1,12232,8.175277959450622E-5
418240411,1,12232,8.175277959450622E-5
426362234,1,10910,9.165902841429881E-5
426395795,1,10910,9.165902841429881E-5
426415399,1,10910,9.165902841429881E-5
426465166,1,10910,9.165902841429881E-5
426501549,1,10910,9.165902841429881E-5
426524281,2,10910,1.8331805682859762E-4
426526266,1,10910,9.165902841429881E-5
426534571,1,10910,9.165902841429881E-5
426538916,1,10910,9.165902841429881E-5
426539541,1,10910,9.165902841429881E-5
434066022,1,11185,8.94054537326777E-5
434070884,1,11185,8.94054537326777E-5
434123896,1,11185,8.94054537326777E-5
434166462,1,11185,8.94054537326777E-5
434184842,1,11185,8.94054537326777E-5
434240490,1,11185,8.94054537326777E-5
434251075,1,11185,8.94054537326777E-5
434253654,1,11185,8.94054537326777E-5
434260893,1,11185,8.94054537326777E-5
434261118,1,11185,8.94054537326777E-5
434261553,1,11185,8.94054537326777E-5
434262046,1,11185,8.94054537326777E-5
434262118,1,11185,8.94054537326777E-5
441819128,1,11887,8.412551526878102E-5
441827132,1,11887,8.412551526878102E-5
441857039,1,11887,8.412551526878102E-5
441868645,11,11887,9.253806679565912E-4
441905477,1,11887,8.412551526878102E-5
441908500,1,11887,8.412551526878102E-5
441913337,1,11887,8.412551526878102E-5
442034378,1,11887,8.412551526878102E-5
442081712,1,11887,8.412551526878102E-5
442086247,1,11887,8.412551526878102E-5
442087306,1,11887,8.412551526878102E-5
442094998,1,11887,8.412551526878102E-5
442101977,1,11887,8.412551526878102E-5
442103178,1,11887,8.412551526878102E-5
450180579,1,12217,8.185315543914218E-5
450192282,1,12217,8.185315543914218E-5
450251963,1,12217,8.185315543914218E-5
450260095,1,12217,8.185315543914218E-5
450295041,5,12217,4.092657771957109E-4
450319710,1,12217,8.185315543914218E-5
450319726,1,12217,8.185315543914218E-5
450319773,1,12217,8.185315543914218E-5
458722228,1,13065,7.654037504783774E-5
458844699,1,13065,7.654037504783774E-5
458856334,1,13065,7.654037504783774E-5
458875527,1,13065,7.654037504783774E-5
458879504,1,13065,7.654037504783774E-5
458883334,1,13065,7.654037504783774E-5
458895217,1,13065,7.654037504783774E-5
458895239,1,13065,7.654037504783774E-5
458895261,1,13065,7.654037504783774E-5
458895724,1,13065,7.654037504783774E-5
458895731,1,13065,7.654037504783774E-5
458895818,1,13065,7.654037504783774E-5
458895837,1,13065,7.654037504783774E-5
458895958,1,13065,7.654037504783774E-5
458896061,2,13065,1.5308075009567548E-4
458896373,1,13065,7.654037504783774E-5
458896794,1,13065,7.654037504783774E-5
458896819,1,13065,7.654037504783774E-5
