GLOBALEVENTID,Number Mentions
541512139,1
541512768,2
541512787,1
541512890,1
541514523,2
541515171,1
541515595,2
541515650,2
541515665,2
541515842,1
541516372,1
541516402,1
541516446,2
541516448,2
541516482,2
541516606,1
541516772,6
541516773,1
541517038,1
541517141,1
541517260,1
541517300,1
541519091,1
541519861,1
541521776,1
541521794,2
541521953,10
541522259,1
541522437,1
541522958,1
541522976,2
541523075,1
541523502,1
541523744,5
541524172,1
541524324,1
541524325,1
541524364,1
541524373,1
541524395,1
541524946,1
541525038,1
541526384,1
541526703,1
541526986,1
541526987,2
541527052,1
541527053,1
541531818,1
541531833,1
541532592,1
541532595,1
541532598,1
541532600,1
541532839,2
541532840,2
541533021,1
541533026,1
541533138,1
541533242,1
541533415,1
541533789,2
541533790,2
541533791,2
541534347,2
541535522,1
541536369,1
541536370,1
541536612,2
541536635,1
541536637,1
541536871,1
541536882,1
541536884,1
541537012,1
541537056,1
541537670,2
541537765,2
541537782,2
541538098,1
541538206,3
541538328,1
541538330,1
541538527,1
541538605,14
541538684,1
541538745,1
541538754,1
541538829,1
541538840,4
541539051,2
541539256,2
541539739,4
541540342,1
541541298,1
541541499,1
541541539,1
541541928,2
541542277,1
541542433,32
541542759,1
541542921,4
541543487,1
541543595,1
541543630,1
541543699,1
541544315,1
541546075,1
541546194,1
541546686,1
541546713,1
541547300,2
541547605,1
541547631,1
541548420,1
541548640,1
541549075,1
541549838,1
541549852,1
541550045,1
541552896,2
541552971,1
541553081,3
541553301,1
541553348,1
541553364,2
541554042,1
541554050,1
541554171,2
541554367,1
541554406,2
541554422,2
541554515,1
541554811,1
541554829,1
541554841,3
541555154,1
541555344,1
541555349,2
541555477,2
541555616,3
541555984,2
541556512,1
541556513,1
541557563,2
541557857,1
541562054,1
541562259,1
541562300,1
541562642,1
541562785,1
541562994,1
541563004,1
541563276,1
541563287,1
541563369,2
541563426,1
541563431,1
541563691,1
541563693,1
541563701,1
541563707,1
541563715,1
541563842,1
541563920,7
541564635,1
541564719,3
541564738,6
541564757,1
541564954,1
541565020,1
541565921,1
541566851,1
541568253,1
541568806,1
541568809,1
541569113,1
541569282,7
541572119,1
541573163,1
541573355,1
541573865,1
541573982,4
541575581,1
541576044,1
541576414,1
541576532,1
541576534,1
541577104,1
541577108,1
541577109,1
541577162,1
541577269,1
541577274,2
541577335,1
541577682,1
541577854,1
541577855,1
541577856,1
541578153,1
541578451,1
541578556,1
541578814,1
541578901,14
541580338,1
541580625,1
541580626,1
541580703,1
541580714,1
541581145,5
541581219,1
541581507,1
541582365,1
541582400,1
541582765,1
541582979,1
541583072,1
541583105,1
541583106,1
541583196,1
541584518,3
541585271,1
541585334,1
541586185,4
541586187,4
541586682,1
541586687,1
541586762,1
541587187,1
541587450,5
541587458,4
541587866,1
541587946,1
541587952,2
541587990,2
541587999,2
541588039,1
541588228,1
541588268,1
541588386,1
541588533,2
541590595,2
541590598,1
541591283,1
541591497,1
541591499,1
541591668,1
541592060,1
541592848,1
541592982,2
541593131,1
541595599,1
541595666,1
541595850,2
541596010,1
541596031,1
541596277,1
541596667,1
541596940,1
541596942,1
541597067,1
541597092,1
541597439,1
541597547,1
541597574,1
541597946,2
541598723,1
541599151,1
541599937,1
541599954,1
541600667,1
541600926,1
541600961,1
541600987,7
541601136,1
541601502,7
541601505,5
541601657,1
541601767,1
541601799,1
541601801,1
541601817,1
541602636,1
541602753,1
541602760,1
541602764,1
541602839,1
541602840,1
541604771,1
541604775,1
541606247,7
541606250,1
541606251,7
541606452,1
541606690,1
541607112,1
541607172,1
541609329,1
541609762,1
541610221,1
541610372,1
541610376,1
