GLOBALEVENTID,count,GoldsteinScale
561172889,1,-10.0
561173019,1,-2.0
561173117,1,8.0
561173362,1,7.0
561173606,1,3.5
561173635,1,-2.0
561173723,1,-10.0
561173938,1,0.0
561174185,2,4.0
561174350,1,-9.5
513222922,1,3.0
513223250,1,-9.0
513223713,1,-5.0
513223742,1,-2.0
513224157,1,7.4
513224270,1,-10.0
513224355,1,4.0
513224410,1,8.0
513224826,1,-0.4
513224958,1,0.0
513225055,1,-9.0
503439456,1,0.0
503439502,1,10.0
503439727,1,2.8
503439728,1,2.8
503439784,1,4.0
503440675,1,7.0
503440679,1,0.0
503440716,1,5.0
503440789,1,-5.0
503440840,1,-10.0
503440938,1,-2.0
503441144,1,-2.0
503441197,1,3.4
503441260,1,-10.0
503441401,1,-10.0
531805988,1,-5.0
531806032,1,-10.0
531806735,1,3.0
531806767,1,3.4
531806877,1,7.0
531807014,1,1.9
531807240,1,0.0
531807346,1,3.5
531807537,1,2.8
531807786,1,5.0
531807822,1,-10.0
531807833,1,-2.0
531807848,1,7.0
531808004,1,4.0
531808092,1,-0.4
600476267,1,6.4
600476290,1,1.9
600476595,1,5.2
600476631,1,3.0
600476637,1,3.5
600477092,1,0.0
600477185,1,-2.0
600477534,2,-2.0
600477676,1,5.2
600477904,1,2.8
600478124,1,1.0
590314740,1,2.8
590314870,1,2.8
590315011,1,-2.0
590315280,1,-0.4
590315429,1,0.0
590315603,1,1.0
590315994,1,1.9
590316171,1,-9.0
590316248,3,-6.5
541684244,1,-5.0
541684714,1,-2.0
541685027,1,2.8
541685125,1,-7.2
541685159,1,1.9
541685317,1,-2.0
541685321,1,-5.0
541685340,1,-5.0
541685363,1,-2.0
541685526,1,7.0
541685795,1,3.0
541685851,1,0.4
590316759,1,7.4
522433945,1,10.0
522434593,1,-2.0
522434723,1,2.8
522434865,1,4.0
522435128,1,7.0
522435257,1,1.9
570644633,1,-2.0
570644823,1,3.0
570644876,1,-2.0
570645835,1,-10.0
570645843,1,6.0
570646019,1,1.0
570646024,1,1.9
570646349,1,1.9
580274065,1,5.0
580274574,1,2.8
580274774,2,0.0
551696086,18,-2.0
551696108,1,-10.0
551696198,1,-2.0
551696289,1,-10.0
551696774,1,2.8
609630402,1,3.0
609630439,1,1.9
609630489,1,-10.0
609630629,1,-0.1
609631160,1,7.0
