MentionSourceName,count
iheart.com,928
yahoo.com,672
ap.org,389
wickedlocal.com,376
dailymail.co.uk,306
ksby.com,261
reuters.com,247
aninews.in,240
thedailystar.net,234
globalsecurity.org,222
arabnews.com,216
caboolturenews.com.au,210
walb.com,208
xinhuanet.com,200
perthnow.com.au,198
english.wafa.ps,197
hawaiinewsnow.com,192
whio.com,189
philly.com,176
stltoday.com,175
miamiherald.com,175
huffingtonpost.com,174
missoulian.com,161
japantoday.com,160
al-monitor.com,159
sfgate.com,158
durangoherald.com,157
abqjournal.com,157
chicagotribune.com,152
philstar.com,150
mysanantonio.com,150
asianage.com,147
newschannel6now.com,146
tucson.com,142
wmbfnews.com,141
nzherald.co.nz,134
newsradioklbj.com,134
ctpost.com,134
indiatimes.com,134
fairfieldcitizenonline.com,133
columbustelegram.com,131
irishsun.com,129
bgdailynews.com,127
dailyamerican.com,127
kdwn.com,126
zimbabwestar.com,125
thebangladeshtoday.com,125
jordantimes.com,120
wfsb.com,120
cnsnews.com,120
heraldscotland.com,119
iraqsun.com,118
news.com.au,117
newsok.com,116
pafoa.org,116
billingsgazette.com,114
bignewsnetwork.com,114
timesunion.com,114
trib.com,113
foxnews.com,113
coolum-news.com.au,113
huewire.com,112
fait-religieux.com,111
straitstimes.com,109
medicinehatnews.com,109
heraldsun.com.au,108
4-traders.com,107
dariennewsonline.com,107
gazette.com,106
dailynht.com,106
washingtonpost.com,104
smh.com.au,102
washingtonexaminer.com,101
wtol.com,100
thetandd.com,100
utahindependent.com,100
cachevalleydaily.com,99
saudigazette.com.sa,98
hometownstations.com,96
theet.com,96
ksla.com,96
lacrossetribune.com,96
wtop.com,96
sacbee.com,95
siouxcityjournal.com,95
okcfox.com,94
breitbart.com,94
cumberlink.com,93
ivpressonline.com,93
koamtv.com,93
brandonsun.com,93
montrealgazette.com,93
wistv.com,91
middleeaststar.com,90
kten.com,89
abc-7.com,89
modernghana.com,89
goskagit.com,89
mtstandard.com,89
newsnow.in,89
beatricedailysun.com,88
courierpress.com,88
abc.net.au,88
wnem.com,88
theusnews.com,87
africaleader.com,86
centraltelegraph.com.au,85
whig.com,84
cbslocal.com,84
pakistantoday.com.pk,84
westernmassnews.com,84
vcstar.com,83
santamariatimes.com,82
cbc.ca,82
fremonttribune.com,81
expressnews.com,80
bloomberg.com,79
palestinemonitor.org,79
cnn.com,79
journalstar.com,79
thepeninsulaqatar.com,79
chron.com,79
wsbradio.com,78
kxlf.com,78
dagblog.com,76
nola.com,76
wsfa.com,76
goupstate.com,76
680news.com,76
ipswichadvertiser.com.au,75
iranfocus.com,75
bsccomment.com,75
schema-root.org,74
waff.com,74
sbsun.com,74
wandtv.com,74
dailykashmirimages.com,74
kvoa.com,74
ckom.com,73
journaltimes.com,73
arabherald.com,73
beloitdailynews.com,72
mychamplainvalley.com,72
chronicle.co.zw,72
thesatellite.com.au,72
nytimes.com,71
tcpalm.com,71
wsiltv.com,71
kpic.com,71
startribune.com,70
ghanaweb.com,70
wcfcourier.com,70
couriermail.com.au,70
reliefweb.int,70
yakimaherald.com,69
maysville-online.com,69
abc22now.com,69
kmjnow.com,69
adelaidenow.com.au,68
wokv.com,68
thehindu.com,68
seattlepi.com,68
charlotteobserver.com,67
turnto10.com,67
plenglish.com,67
thevillagessuntimes.com,67
krcgtv.com,67
businesstimes.com.sg,67
630wpro.com,66
muscatinejournal.com,66
fox23maine.com,65
mirror.co.uk,65
qctimes.com,65
firstpost.com,65
beaumontenterprise.com,65
kokomotribune.com,65
wgmd.com,64
tribtown.com,64
voiceofalexandria.com,64
everythinglubbock.com,64
timescolonist.com,63
bentoneveningnews.com,62
go.com,62
ctvnews.ca,62
marketwatch.com,62
montereyherald.com,62
klfy.com,62
theguardian.com,62
wlox.com,62
statesville.com,61
usatoday.com,61
newstimes.com,61
oleantimesherald.com,61
cinemablaze.com,61
news957.com,61
sandiegouniontribune.com,61
focus-fen.net,61
therepublic.com,60
sina.com,60
stripes.com,60
abc6onyourside.com,60
rollcall.com,60
wftv.com,59
washingtontimes.com,59
telegraphindia.com,59
kjrh.com,59
kxxv.com,59
kelownacapnews.com,58
dailyexcelsior.com,58
natlawreview.com,58
channelnewsasia.com,58
wsj.com,57
politickernj.com,57
news-journalonline.com,57
nbc-2.com,57
tbo.com,56
wjactv.com,56
freerepublic.com,56
helenair.com,56
gosanangelo.com,56
csmonitor.com,56
maitlandmercury.com.au,56
whdh.com,56
gainesville.com,55
srilankasource.com,55
pasadenastarnews.com,55
wbtv.com,55
mdjonline.com,55
messenger-inquirer.com,55
1050talk.com,55
newcanaannewsonline.com,54
jamestown.org,54
ajc.com,54
newswiretoday.com,54
news1130.com,54
web.nmusd.us,54
infotel.ca,54
local12.com,53
einnews.com,53
newsmax.com,53
ndtv.com,53
heraldextra.com,53
pakistantelegraph.com,53
mauritaniavox.com,53
prnewswire.com,52
india.com,52
express.co.uk,52
whittierdailynews.com,52
thepublicopinion.com,51
michigansthumb.com,51
fox8live.com,51
cnbc.com,51
suntimes.com,50
stamfordadvocate.com,50
state.gov,50
singaporestar.com,50
thehimalayantimes.com,50
watertowndailytimes.com,50
nj.com,50
insideottawavalley.com,49
wjhl.com,49
mynorthwest.com,49
patch.com,49
princegeorgecitizen.com,49
wsbt.com,49
irrigator.com.au,49
khmertimeskh.com,48
dailyjournal.net,48
lethbridgeherald.com,48
roanoke.com,48
cbs5az.com,48
wpde.com,48
dailyprogress.com,48
tribune.com.pk,48
cqnews.com.au,47
thechronicle.com.au,47
foxsanantonio.com,47
sltrib.com,47
asiaone.com,47
krcrtv.com,47
reporternews.com,47
catholicsentinel.org,46
scnow.com,46
courthousenews.com,46
castanet.net,46
mynews13.com,46
caller.com,46
insidehalton.com,46
greenfieldreporter.com,46
terracestandard.com,46
businessinsider.com,46
gwdtoday.com,45
troyrecord.com,45
verdenews.com,45
mainemirror.com,45
lompocrecord.com,45
news4jax.com,45
kvor.com,45
abc13.com,45
newsghana.com.gh,45
kswo.com,45
prweek.com,44
dailysabah.com,44
newsnet5.com,44
windsorstar.com,44
abcnews4.com,43
amediaagency.com,43
prweb.com,43
seriouslypolitics.com,43
mwcnews.net,43
winonadailynews.com,43
northwestgeorgianews.com,43
herald-review.com,43
newsobserver.com,43
californiademocrat.com,43
nbc25news.com,43
wbrc.com,43
kitv.com,42
ahram.org.eg,42
krvn.com,42
wjcl.com,42
scoop.co.nz,42
theage.com.au,42
jsonline.com,42
kanw.com,42
deadline.com,42
israelherald.com,42
trust.org,41
wmur.com,41
byronnews.com.au,41
firstcoastnews.com,41
thehansindia.com,41
daytondailynews.com,41
theinsidekorea.com,41
sanluisobispo.com,41
goldcoastbulletin.com.au,41
khqa.com,41
newschannel10.com,41
sfchronicle.com,41
news8000.com,40
valleycentral.com,40
shanghaidaily.com,40
foxillinois.com,40
wpxi.com,40
kuwaittimes.net,40
wyff4.com,40
wpbf.com,40
nationalpost.com,40
talkradio1470.com,40
komonews.com,40
kwqc.com,40
kpax.com,40
nonpareilonline.com,40
thefrontierpost.com,40
brownsvilleherald.com,40
redding.com,40
wfin.com,39
people.com,39
wadk.com,39
siouxlandmatters.com,39
northernpublicradio.org,39
yorktonnews.com,39
whec.com,39
570news.com,38
thebrunswicknews.com,38
evanstonnow.com,38
truthdig.com,38
wkrb13.com,38
bostonglobe.com,38
areanews.com.au,38
ghanamma.com,38
business-standard.com,37
mvariety.com,37
flamboroughreview.com,37
entrepreneur.com,37
carnegie.ru,37
memri.org,37
ynetnews.com,37
wfmz.com,36
tri-cityherald.com,36
local21news.com,36
thaivisa.com,36
newsone.com,36
latimes.com,36
wwgp1050.com,36
decaturdaily.com,36
9news.com,36
10tv.com,36
eurekalert.org,36
dungogchronicle.com.au,36
eurweb.com,36
onenewspage.com,36
mycentx.com,36
mpbn.net,36
hitsfm.net,36
worldbank.org,35
standard-journal.com,35
accesswdun.com,35
kxly.com,35
dailyvoice.com,35
crowdfundinsider.com,35
wwmt.com,35
kfru.com,35
peacearchnews.com,35
southcarolinapublicradio.org,35
therural.com.au,35
middletownpress.com,35
wgauradio.com,35
rinf.com,35
inverelltimes.com.au,35
tampabay.com,35
newsplex.com,35
taiwansun.com,35
telesurtv.net,34
msn.com,34
chinadaily.com.cn,34
wsbtv.com,34
fijitimes.com,34
voanews.com,34
tristatehomepage.com,34
gladstoneobserver.com.au,34
wesh.com,34
timesofisrael.com,34
freemalaysiatoday.com,34
northernstar.com.au,34
