MentionSourceName,count
iheart.com,2911
yahoo.com,1506
ap.org,1057
reuters.com,777
dailymail.co.uk,750
english.wafa.ps,706
indiatimes.com,554
wickedlocal.com,502
abc-7.com,485
tucson.com,472
sfgate.com,463
news-sentinel.com,461
xinhuanet.com,452
couriermail.com.au,449
stltoday.com,424
billingsgazette.com,415
miamiherald.com,410
washingtonpost.com,399
missoulian.com,397
castanet.net,396
standardmedia.co.ke,386
dailytimes.com.pk,378
palestinemonitor.org,360
news12.com,360
huffingtonpost.com,356
thedailystar.net,351
arabnews.com,346
medicinehatnews.com,346
wnd.com,344
dailytelegraph.com.au,343
lacrossetribune.com,330
seattlepi.com,330
4-traders.com,323
saudigazette.com.sa,322
hawaiinewsnow.com,318
heraldsun.com.au,315
philstar.com,311
thetandd.com,311
pafoa.org,309
chron.com,309
siouxcityjournal.com,307
beaumontenterprise.com,293
perthnow.com.au,291
mysanantonio.com,290
nzherald.co.nz,282
globalsecurity.org,272
ksby.com,266
japantoday.com,264
aninews.in,264
1090kaay.com,263
whio.com,263
walb.com,259
thepublicopinion.com,258
cbslocal.com,257
modernghana.com,255
newsok.com,255
chicagotribune.com,252
mtstandard.com,250
kswo.com,248
cbc.ca,247
timesunion.com,243
theaustralian.com.au,240
kmjnow.com,238
muscatinejournal.com,238
news.com.au,237
abqjournal.com,237
centraltelegraph.com.au,237
cumberlink.com,234
poststar.com,234
wandtv.com,232
philly.com,230
journalstar.com,229
sltrib.com,229
breitbart.com,224
herald.co.zw,221
foxnews.com,220
tribtown.com,219
mynorthwest.com,218
ctpost.com,217
newschannel6now.com,214
