GLOBALEVENTID,count
450310742,94
674257761,80
503390947,58
503428907,58
503428909,58
503428919,58
503429589,58
503429920,58
503145802,52
551686824,52
434214228,50
434214317,50
434214325,50
434241712,50
589971588,50
590299178,50
590299180,50
434212763,49
434212791,49
434214079,49
590299179,49
561129696,48
450310328,47
434256608,47
434257485,47
450310330,47
450312419,47
450312421,47
410469317,46
410469318,46
441818037,45
551687233,43
434194363,42
434261048,42
618096923,42
434034645,41
589948915,41
674126349,40
674300202,40
674407149,40
674407150,40
674407460,40
674407480,40
674407570,40
674407596,40
674408573,40
674408577,40
674408786,40
674409525,40
674409566,40
